,Zone26_Pressure__number_cwt_peaks__n_5,Zone4_Pressure__quantile__q_0.8,Zone7_Pressure__quantile__q_0.8,Zone31_Pressure__kurtosis,"Zone9_Pressure__fft_coefficient__coeff_31__attr_""imag""",Zone15_Pressure__kurtosis,Zone15_Pressure__quantile__q_0.7,Zone23_Pressure__skewness,"Zone17_Pressure__fft_coefficient__coeff_83__attr_""abs""","Zone9_Pressure__fft_coefficient__coeff_59__attr_""abs""",Zone10_Pressure__time_reversal_asymmetry_statistic__lag_1,Zone6_Pressure__number_peaks__n_5,"Zone6_Pressure__fft_aggregated__aggtype_""skew""","Zone14_Pressure__agg_linear_trend__f_agg_""mean""__chunk_len_50__attr_""stderr""","Zone10_Pressure__fft_coefficient__coeff_88__attr_""abs""","Zone31_Pressure__fft_coefficient__coeff_39__attr_""imag""",Zone24_Pressure__skewness,Zone17_Pressure__time_reversal_asymmetry_statistic__lag_1,"Zone31_Pressure__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4","Zone2_Pressure__augmented_dickey_fuller__attr_""teststat""","Zone31_Pressure__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","Zone9_Pressure__fft_coefficient__coeff_30__attr_""imag""",target
133,35.0,78353.34000000003,19911.48000000001,0.13129574761970364,309117.1235261245,-0.16407060102318693,22399.93,1.0509600782738702,151554.0414781981,131384.2677582859,266077361299.8356,4.0,2.4024800774870734,721.4917367987382,136665.91937781574,48043.093399646306,3.3157923578198214,742199851538.7969,80849.14495144898,-1.0972420946410115,70.52373315363882,287525.10646548925,0
134,22.0,92087.36000000002,24114.60000000001,-0.33456273051650953,160462.3801960257,-0.8578823688092663,20704.93999999999,0.8824184225398327,74193.6315312955,174016.91301105858,198256597745.44696,5.0,2.3415200184528424,789.5730514599568,5203.118069307948,169812.1995668807,3.60737590864804,225734323486.98544,64653.220415424716,-0.8164290070941082,51.5272274562584,171082.034061154,0
135,25.0,105350.0,41499.4,9.305811356693855,264890.26989020105,3.0002004712244768,25690.0,2.2051837162093224,121116.02940213,215775.73884000824,166580653138.69244,3.0,2.1845950786301667,1446.2558208427247,92363.51923424198,369915.5914009315,3.815255390948027,220080674703.1535,19833.788453494693,-1.1986498387668816,44.50348326639892,348823.57659814326,0
136,27.0,68679.34,15333.08,1.0169504438904151,348614.1285648535,0.8033983484664051,16321.38,1.2219438103129605,73216.86696658209,182136.8497223272,125756398647.3867,3.0,2.2891969426082093,1083.712945743689,92427.69099156672,161051.208885197,1.6948253029654277,192018979309.9039,344781.46722913603,-0.5789371460547235,125.27388283378748,266728.55056640337,0
137,17.0,83053.36,14417.660000000005,1.7633142008546252,233265.18266259023,1.0993139166032626,14701.179999999993,1.3980219257465825,161530.07153258257,143655.92068002914,302368715840.2242,2.0,2.4841164343114714,867.8015098722444,150359.10435748962,136243.38483598985,2.9214381487229977,1042354226477.6046,13573.534193769858,-0.5449375524165453,32.47849484536082,282923.5904613169,0
138,35.0,61366.18000000003,11317.920000000006,2.606265832811339,387255.38526440563,1.5773034920720268,12883.22,1.494824959722902,171534.56298410118,199128.52443663386,473160828557.9049,1.0,2.1177765355857443,754.2143655990465,127853.54138749285,133596.87224735887,3.5982487957463225,976564701333.3762,35612.47872483324,0.8006457155723624,40.839547019867545,425361.5747726183,0
139,23.0,79365.64000000001,21110.24,4.4223544410398565,403582.319086189,1.0320059539443682,19182.199999999983,1.5815046298706523,171500.34074132706,199371.38763480727,754841121950.9727,5.0,2.0182177540889645,570.1987998434104,104764.21369634512,357973.89050517563,4.540526784993047,840660513816.3989,42182.12350091603,-0.2599936381966356,45.56894393741851,316840.218711445,0
140,32.0,93055.7,19142.5,1.342440732643503,544949.6453416754,0.6550858798750934,17930.95,1.3944899622716171,204420.1979908317,165625.32287231952,530806032313.525,4.0,2.134449660571084,594.5752546542003,23464.49074734481,252183.2448122468,3.632381784111282,1040212591738.8744,64231.53538191887,-1.2824859530343955,64.74650066225165,540760.243712274,0
141,22.0,80231.78,28346.000000000055,1.5945917637554945,227889.38835443484,1.280390586838683,20233.249999999967,1.510079839899085,181066.04323616647,169727.56895061847,308835926525.9894,3.0,2.3543790884157816,668.2575750456682,74032.76782241787,210967.98466107764,2.448916295633314,608452586195.1372,19134.463656709693,-0.9052786791717601,56.02895290858726,298924.28066679713,0
142,27.0,76762.46,22987.60000000001,2.250857956908051,254327.9228960336,0.05999768104398263,18564.63,1.3494662445360734,173080.15244544199,182715.08985477395,413069748328.3903,3.0,2.2469729368403324,687.2054189320069,189112.2441879069,175927.52959051632,3.4829198135607187,807982393432.9879,25599.016581983244,-0.916064765551399,37.82912416555408,362300.13574345724,0
143,20.0,76864.88000000003,9425.882000000009,3.5309196117318113,391741.4837453358,1.1259389459218545,11538.439999999995,1.3815491719674426,95917.12123093543,207957.24331372112,187399301178.07205,2.0,2.2920767597064304,1269.9345055414706,120812.1017303749,204030.4842806427,3.045667730977549,149679455189.24036,20543.6538352487,-0.2788565919241899,38.959751724137924,351019.6944977839,0
144,26.0,86410.4,21848.6,0.3958298960919269,392232.85865217797,-0.09402637356808484,15996.1,1.1673504991679526,67945.23230252515,113384.33258154492,111497427411.69524,4.0,2.398599742719349,864.0952243303572,104288.88289589553,-14943.485437045163,2.434292774516005,110202310139.60477,262000.87532153176,-0.8596507127006996,98.12655555555556,407787.5250940298,0
145,22.0,86854.94,16721.320000000007,5.908221117672388,260903.7205530488,2.2092263073222607,14028.93,1.8305302312951264,123368.59420629106,202951.07912259962,735427505773.987,2.0,2.0709923958946668,646.2760222673992,114014.55827259153,297745.6911925376,3.2782546653123026,506038166772.4868,16342.480558837568,1.954893448538344,23.687348659003835,481143.0433558595,0
146,23.0,87414.98000000001,32011.8,0.4384250508641161,236470.53661692745,1.6073295943888457,28559.14,1.3586757222281678,155654.74864519868,199897.18915179366,684490145336.7725,3.0,2.2606548592110993,528.8071416150764,181202.79489550105,468416.8425420144,2.1083543464180687,819292123521.9895,116044.71580256363,0.992847521580834,104.499791086351,192139.53693986745,0
