,"Zone17_Pressure__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0","Zone9_Pressure__fft_coefficient__coeff_48__attr_""imag""","Zone17_Pressure__fft_coefficient__coeff_34__attr_""abs""","Zone17_Pressure__fft_coefficient__coeff_74__attr_""abs""","Zone28_Pressure__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",Zone17_Pressure__spkt_welch_density__coeff_5,Zone16_Pressure__count_below_mean,"Zone17_Pressure__fft_coefficient__coeff_33__attr_""abs""","Zone10_Pressure__fft_coefficient__coeff_32__attr_""imag""","Zone11_Pressure__fft_coefficient__coeff_3__attr_""real""","Zone27_Pressure__fft_coefficient__coeff_54__attr_""angle""","Zone17_Pressure__fft_coefficient__coeff_98__attr_""real""","Zone15_Pressure__augmented_dickey_fuller__attr_""pvalue""","Zone16_Pressure__fft_aggregated__aggtype_""kurtosis""","Zone17_Pressure__fft_coefficient__coeff_47__attr_""abs""","Zone17_Pressure__fft_coefficient__coeff_24__attr_""abs""","Zone15_Pressure__augmented_dickey_fuller__attr_""teststat""","Zone11_Pressure__fft_coefficient__coeff_32__attr_""abs""","Zone9_Pressure__fft_coefficient__coeff_15__attr_""abs""","Zone15_Pressure__fft_coefficient__coeff_50__attr_""angle""",target
83,37.769536423841046,51925.194614692,213038.9784814897,118150.65896159572,744.1818181818184,51444037.49821498,739.0,173713.3675799489,-72536.48337146666,-1281503.5014260958,108.22305265312143,-36835.00975054299,0.6441701638299253,-6.1761746980620575,79510.20184950402,427670.051369549,-1.2669137345155341,370317.10794959,167686.39651455847,-87.98303334193547,1
84,94.99433551198256,265423.83017107646,408046.0589114919,219585.218660356,247.3265193370167,122156313.38823467,741.0,294765.21708623646,499672.4297229812,306463.8634521638,67.69310177083082,4545.833294556305,0.9207405643618312,-6.936598043891679,254100.29346164328,572613.8781099414,-0.3327206497344304,1011454.9805387412,855672.4579789994,97.7073722438078,0
85,78.56811751904243,92514.23866707584,385736.3162573115,265043.02404581424,269.67333333333363,172196338.79457295,813.0,362778.4331619561,213778.0194663854,1156312.6671392366,92.7927495157536,-87479.10204628736,0.9716806469675298,-6.850322825962808,97755.55241940342,629523.7827086626,0.18974719662258885,480281.3833824996,633765.3274717899,58.6969880480736,1
86,68.65479302832244,166224.68076977663,243948.3289773324,139354.8758323945,221.9022099447518,22095278.676700585,748.0,233507.18049932976,58307.817942142225,-2286866.6905457187,53.61949588774983,-47389.2752150579,0.8313738471440841,-6.676660721588253,223206.8870716286,298270.64608280273,-0.7571941118160165,345076.6697493305,707973.0876601936,148.65112692176746,1
87,75.47142857142858,90746.69514996356,406514.88515556173,250090.3675808113,349.0662790697673,439287.5958430417,750.0,389575.89647820866,279309.05951671326,-2081959.419420849,178.57504885212268,41837.60468486885,0.9590247008169684,-7.44794435693314,235575.5991556989,183507.5271204228,0.0059904943311998,358105.1547195735,376205.4955621771,38.24145675934177,1
88,107.59555796316359,225916.8019743065,539423.4127368972,212631.0087879268,337.9633333333333,128447277.29619227,787.0,602340.3084392053,424598.5515319093,272407.220455965,81.09608777910876,-11554.77821525025,0.9954531028684008,-6.959315896749555,276282.3381772576,585567.8917764815,1.128554259930467,582084.5617122204,906998.8306834362,90.38695837517271,1
89,81.0881974248927,132725.3652480322,324564.62624704064,161744.46755417014,524.3183333333334,475744998.11454934,781.0,208688.1661720799,324274.0554346435,-2260068.36576672,78.20777394946631,-40693.26659578236,0.9229865773659536,-6.842015895542851,298687.66931807424,688098.9168945927,-0.3175164679437528,392403.6908976569,432929.5714389656,95.90897915557846,1
90,65.80942111237229,244165.40247293978,232411.162918272,117102.26111886768,423.7826589595378,395477.9877065653,752.0,221589.69072036247,138749.62046196446,-2882119.6693922835,-172.15148917659042,-32604.82384971958,0.9439888874177956,-6.540310871402665,164863.26149941585,334022.3643919784,-0.15216048978940416,323318.8669801077,363203.3943277916,71.48253823821072,0
91,90.85801104972376,165271.8882258632,274968.8922723507,151492.43344342322,298.93519553072633,213116041.0083721,709.0,299845.1713876663,352711.9129402429,-3301340.956324858,68.72535726706397,-74650.12393659393,0.6888146539749905,-6.726912514082117,346032.0843201702,415510.7255124517,-1.164173046117457,441931.7532967238,409763.6251950332,96.5478371506862,1
92,100.63550561797753,182884.12101059008,532889.0934906368,197071.0540202181,298.7193181818182,33021.990108506216,748.0,528700.9000348115,271087.78204832115,-3094043.127208391,90.3898973372925,-48852.832780124365,0.9635357688004198,-6.735832954378261,312913.88788764423,649480.9246076687,0.06427699869161782,254307.09189674532,430694.41327808186,124.2894383196965,0
93,89.12940528634361,142355.3122019883,403305.5281830164,182035.91581455013,563.5862857142853,237413750.2781359,754.0,430218.1826277849,49174.31074215842,-3540271.306504045,73.88743539936758,-66160.68754602518,0.8319044489313063,-6.876947895609166,253374.2077510285,692735.8619289079,-0.7552881613556695,366812.7034400258,729150.1984477013,175.10412872097518,0
94,78.0451891891892,-136817.70023599608,286883.6136567859,147938.79665327753,460.76483516483546,527414192.7858133,807.0,229288.61896728852,244858.54896370106,-1674931.5561221116,108.2196894696625,-103445.83078372393,0.5161335417906067,-6.806583819529543,70372.94772616439,724119.141832358,-1.5349965122816955,589034.0104723929,1186296.495800585,39.75556229985352,1
95,65.15671476137625,229903.5793670081,276867.394616244,101702.85467498453,265.64438202247163,8835028.419055304,711.0,275672.6882064484,183204.93398320547,-2098348.655043099,123.88252326744193,-22346.27947840746,0.7455733989498033,-6.504226699967573,181350.17243468453,391571.4380436315,-1.0208784725011912,244623.6314470397,796403.4745934234,22.04333657280779,1
96,87.65862831858406,114868.2117689455,481418.8698526761,205364.93480356337,453.6276836158194,38930259.26324631,789.0,394330.65085798607,451305.83168095385,-302052.3977230105,99.51881197692644,-72453.89129923213,0.8758008004426201,-6.714969488437894,154820.80605821224,501548.6324033506,-0.5783435303265357,857520.6998178806,893951.6538610606,122.32158442464304,0
97,73.60746934225195,184303.97454630843,369112.8656687574,146347.61845063505,834.0994252873561,119565595.05874872,685.0,356709.01810001396,87350.4754049238,-2028907.2865161125,106.4853615412664,3202.6148391299357,0.6490212716954389,-6.367815570102552,246247.5678353764,357966.4301302369,-1.256074368109656,193130.7223195853,775367.3141065512,169.12261037159755,1
